,Utterance,Response
14792,"🔥🚨hillary birther🚨🔥 america's memory is so bad, they forget the 2007-08 clinton camp actually started",no it did not start with them.
14870,"🔥🚨hillary birther🚨🔥 america's memory is so bad, they forget the 2007-08 clinton camp actually started",her supports idiot not her so stfu
23276,🔥 for the wknd,() listening now
24900,"🔥🚨hillary birther🚨🔥 america's memory is so bad, they forget the 2007-08 clinton camp actually started",please send to jenna lee on fox
54580,"🔥🚨hillary birther🚨🔥 america's memory is so bad, they forget the 2007-08 clinton camp actually started","that old racial test, which has only ever been applied to a black person, how peculiar"
55042,"🔥🚨hillary birther🚨🔥 america's memory is so bad, they forget the 2007-08 clinton camp actually started",that's because they didn't. alt-right did &amp; spread it via emails.
72418,"🔥🚨hillary birther🚨🔥 america's memory is so bad, they forget the 2007-08 clinton camp actually started",yup! hillary apparently forgot too!
72900,"🔥🚨branding fail🚨🔥 evidence that the campaign, pundits and msm are working together. let's push ""power through"" 😂😂😂",their entire message &amp; branding have been off. they keep changing messages as more lies are exposed. no consistency.
74252,"🔥🚨branding fail🚨🔥 evidence that the campaign, pundits and msm are working together. let's push ""power through"" 😂😂😂",: she is going have to power through a trump train colonoscopy. not going make it libtards.
76456,"🔥🚨branding fail🚨🔥 evidence that the campaign, pundits and msm are working together. let's push ""power through"" 😂😂😂",the only thing she can power through is a bottle of whiskey!!
81406,🔥 run this town 🔥,"queen of them all, i meant the one and only beauty queen"
89760,"🔥🚨hillary fraud🚨🔥 double, triple and continuous charging to campaign. won't answer calls. 🇺🇸","one thing i never do or will never do = is make a campaign contribution,"
100924,🔥 gonna be the new trend 🔥,when she got that nut in her hair fresh new nails💅🏽 &amp; cute feet😁👌🏻✨😈🍆💦💆🏻
102276,"🔥🚨hillary fraud🚨🔥 double, triple and continuous charging to campaign. won't answer calls. 🇺🇸",it's her own fault for being so ignorant. trump is the one who has heart for sick and disabled and she should know it
102850,🔥green screen hillary🔥 amazing! hillary is too sick to rally.,what the heck lol
103950,🔥🚨look at her!🚨🔥 she looks drugged up and absolutely wiped out! 🇺🇸,looks like she is about to fall over. heavily medicated.
104952,🔥🚨look at her!🚨🔥 she looks drugged up and absolutely wiped out! 🇺🇸,. didn't have her brawndo energy drink today.
110092,"🔥🚨hillary fraud🚨🔥 double, triple and continuous charging to campaign. won't answer calls. 🇺🇸",she steels from everyone
116708,🔥🚨look at her!🚨🔥 she looks drugged up and absolutely wiped out! 🇺🇸,maybe the muslims have a bigger plan for hillary should she make president: if there drugging her now: hummmmmmm
126334,🔥🚨hillary is not fit🚨🔥 st. cloud and only proves the media and establishment want you ignorant. 🇺🇸,john kerry asked the media to stop reporting terrorist attacks. this is the result
127050,🔥💅 thread cc,"haha, the amount of indies here and the state of the major publishers mean i'm hella surprised this is a thing."
131776,🔥🔥🏙⚡️⚡️ eat your heart out metropolis!!!!,this looks so good
136046,🔥wtf??🔥☠😷☠ takes sleepy hillary over 30 hours to release a statement on terror attack,she just doesn't care.
142826,"🔥🔥🔥 ""real estate romp""😈💦🍆💦 ▶▶","holy height, how tall is elena??"
144554,exactly bro,🔥🔥🔥. just gotta get through this long depressing week 😂😂
147820,"🔥🚨branding fail🚨🔥 evidence that the campaign, pundits and msm are working together. let's push ""power through"" 😂😂😂",: all these talking heads and secret service are in collusion with the fraud being played before the nations eyes.
167704,🔥🚨🚨🔥 👉👈 shared a wonderful video to urge americans to save americanism. 🇺🇸,i am getting a message that the media cant be played :(
181974,🔥🔥🔥🔥🔥🔥🔥🔥🔥 🚨awesome quote🚨 🔥🔥🔥🔥🔥🔥🔥🔥🔥 gov. had a powerful quote on and limbaugh. 🇺🇸,smart team of trump and pence!
184256,🔥🔥brand new cover🔥🔥.. tomorrow september 20th 8pm!! ft - closer rt rt,looking forward to tomorrow's cover release! sounds great. 🎶
184372,because im high as fuck,🔥🔥🔥 i can't say i've done that but i've deff been too high to figure out how to drink water from a sink 😪
194342,hell yeah on the radio. i want to photograph her again so bad! here's one from march at house of vans.,🔥🔥🔥🔥 i love her
204046,that's an image i'll never get out. thanks a lot,🔥 my eyes 🔥
219606,"🔥🚨don king🚨🔥 the man, not the myth! powerful words and endorsement for trump. 🇺🇸",don king doesn't do anything without being paid - and paid well.
221870,"🔥🚨don king🚨🔥 the man, not the myth! powerful words and endorsement for trump. 🇺🇸","oh the safe spaces that will be needed, i feel for college campuses today."
232810,🔥🔥🔥🔥 who is ready 🏀🏀🏀🏀🏀,and they couldn't have done it with out sdot . . .
246404,🔥🔥let me direct it whenever you done lol.,lmao 🙌🏾 getting this thing right and we'll be talking soon bruh
257122,🔥 ayee rapchat is now live on android 🔥 check it out on :,i got 2 more on there 🔥🔥🔥🔥🔥🔑💰
259024,machine gun kelly - young man ft. chief keef,🔥🔥🔥 love the authenticity you always deliver in your videos k😆 you are such an awesome pe…
286328,"only good part of an un-air conditioned subway car: watching a person step in, look horrified, and run back out",🔥🔥🔥 welcome to hell subway goers it's pretty darn hot 🔥🔥🔥
290284,"🔥🔥 new eminem verse 🔥🔥 hear shady rip skylar grey's new ""kill for you"" single","kill, shoot, strip, drink, smoke, trap, listen to trash! repeat! now your cool!"
321942,🔥🚨powerful video🚨🔥 i recommend everyone to watch this! 🇺🇸,this video should be played on tv on all networks. so moving! so telling!
326594,🔥🔥 🔥🔥 👀 👉 👈,how can a a guy not be in lust with this this chick she is so damn hott!!!!!
340878,🔥 nova is a nice new colour scheme from for sublime/atom/term/vim/life,that looks excellent! gonna give that a go
358172,nicole and deimos don't have what eric and nicole had. i'm sorry.,🔥🔥 chemistry 🎥🔥🔥 🌞 fan favorite couple
372118,🔥 has taken off in a big way! this weeks challenge: tweet interesting facts about your hometown. bonus p…,about a half mile from my home in central pennsylvania. shrine to pa 28th division and birthplace of m…
394044,🔥🔥🔥🔥🔥🔥🔥 meet 🔥🔥🔥🔥🔥🔥🔥 he supports hillary clinton for president. 🇺🇸,if he is with her then he is a self loathing jew. is helping iran eradicate israel.
400842,a jar of paul's very very hot sauce ready for distribution,"🔥! i like the dropper, good idea!"
402394,🔥🚨epic fail🚨🔥 sad thought his voice mattered. he is learning most of america just laughs at him. 🇺🇸,what a colossal self absorbed jerk. if he was half black he'd be obomba.
405252,🔥🚨🚨🔥 with another amazing edit by flipping the script on a hillary commercial. 🇺🇸,love this! so true
415054,🔥🚨cnn is hitler🚨🔥 👉hillary clinton for president👈 superpac caught lying on national tv 🇺🇸,clinton mafia props her up
476490,🔥 congrats!,thanks for the love brother. see you soon
479916,🔥tune in to after for the very best analysis. joins …,over / under on number of potty breaks and coughing fits has tonight ? 5 ?
480838,🔥🔥🔥🔥🔥🔥🔥🔥 rt : teammates.,stole it and made it my wallpaper on my phone. and.....
494682,"🔥 between religion, politics, and text editors, what is the least dangerous first date topic??","well shit, it's now down to religion or politics. 🔥"
513352,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥the only secret is that he has no plan🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,"that's not a secret, he literally said it during the commander in chief forum, but no one picked up on it. so sad. 😢"
515528,literally every man she's ever met probably,🔥 you are my hero for this response
537958,"🔥🚨scorecard🚨🔥 hillary failed to paint trump as a loose cannon and bigot, trump was able to give memorable one liner…","yes, he kept his cool. i like that he didn't allow holt to interrupt"
551390,🔥🚨🚨🔥 he was able to prove he could go 1 on 1 against a seasoned debater and hillary failed to paint trump…,bravo! now trump needs 2 hit scandals⚖
560724,🔥🚨🚨🔥 caught shilling for hillary. also caught lying 5 times. 🇺🇸,fighting for the queen! disgrace
561480,🔥🚨🚨🔥 he was able to prove he could go 1 on 1 against a seasoned debater and hillary failed to paint trump…,. pause may be waiting for ear piece prompt with info.
569572,'we're now moving firmly into territory where increasingly-empowered consumers are truly 'shopping' for plans' -,"🔥'us healthcare is larger than italy's entire economy, and is about as well organized' -"
570244,🔥🔥 w/host x 🔥🚨🔥,i'm on that!!!
578498,🔥 x 10 and counting.,"do not use casilla no matter what, and please send him to the tibet....."
585964,"🔥'us healthcare is larger than italy's entire economy, and is about as well organized' -","hey , you were right. this 'after hours' session is a lot of fun! 🍷"
592612,"🔥🚨this is 🚨🔥 a day after 1st debate: 18 million in fundraising, 27k attendance in melbourne, fl.…",proud to be a trump supporter and reject racist genocidal hillary clinton because of this:
595716,🔥🚨look at her!🚨🔥 she looks drugged up and absolutely wiped out! 🇺🇸,get the camera lights on her and she will go bobble head de dope!
604338,"🔥🚨this is 🚨🔥 a day after 1st debate: 18 million in fundraising, 27k attendance in melbourne, fl.…",you are hundred percent right but we are dealing with a machiavelli power
626256,🔥🚨what's wrong with hillary?🚨🔥 uncontrollable smiling and crazy clapping? 🇺🇸 🇺🇸,side effects from the same drugs keeping her from dropping like a rock
633396,have you heard ‘question$’ by g-dude on ?,🔥🔥 burnin up
634080,🔥 proposal on the table: operation deny 270- which channel shall we use to discuss?,all of them! reach as far &amp; wide as possible 📢
641650,🔥🔥🔥 rt : in my shirt. ❤️❤️,celebrating my bday at the next ny one 🤗🤗🤗🤗
644376,🔥🚨🚨🔥 and 2 vs 1 on . 🇺🇸 🇺🇸,watch this our lousy msm supporting the most corrupt woman candidate.
670080,vault squad working on those 10.0 vaults today! 🙌,🔥🔥🔥🔥🔥 wowwwwwwww. huge improvements from last season.
673018,🔥🚨 lies🚨🔥 just another of the 🇺🇸,"bush signed nafta, fact."
673140,totem 2.0 t shirt,🔥🔥🔥 fire flames
685496,🔥 🆙 are game ready. 🏈,let's go tennessee!!!!
